Scanner

TOKEN(FN, "fn")
TOKEN(ID, "main")
TOKEN(LPAREN, "(")
TOKEN(RPAREN, ")")
TOKEN(LBRACE, "{")
TOKEN(LET, "let")
TOKEN(MUT, "mut")
TOKEN(ID, "resultado")
TOKEN(COLON, ":")
TOKEN(I32, "i32")
TOKEN(SEMICOL, ";")
TOKEN(ID, "resultado")
TOKEN(ASSIGN, "=")
TOKEN(NUM, "2")
TOKEN(MUL, "*")
TOKEN(NUM, "3")
TOKEN(PLUS, "+")
TOKEN(NUM, "4")
TOKEN(MUL, "*")
TOKEN(NUM, "5")
TOKEN(MINUS, "-")
TOKEN(NUM, "6")
TOKEN(PLUS, "+")
TOKEN(NUM, "10")
TOKEN(SEMICOL, ";")
TOKEN(PRINTLN, "println!")
TOKEN(LPAREN, "(")
TOKEN(STRING, ""{}"")
TOKEN(COMA, ",")
TOKEN(ID, "resultado")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(END)

Scanner exitoso

